stud_id,g1a,g2a,g3a,g4a,g5a,g_total,s1,s2,s3,s4,chinese,english,matha,mathb,mathc,track,indrg,indrs,ind42
00002, , , , , , , , , , ,64,46, ,52, ,3.考試分發,0,0,1
00003,13,15,10,14,8,60,66.0299987792969,72.1699981689453,0,81.8000030517578, , , , , ,3.考試分發,1,1,0
00004,14,15,14,14,15,72, , , , , , , , , ,1.學校推薦,1,0,0
00010,12,11,8,13,8,52, , , , , , , , , ,1.學校推薦,1,0,0
00012, , , , , , , , , , ,46,44, ,44, ,4.獨立招生,0,0,1
00015,12,11,12,12,13,60, , , , , , , , , ,2.個人申請,1,0,0
00024, , , , , , , , , , , , , , , ,4.獨立招生,0,0,0
00028, , , , , , , , , , ,32,42,20, , ,-,0,0,1
00029,12,8,6,9,6,41, , , , , , , , , ,2.個人申請,1,0,0
00031,12,13,8,10,12,55,68.4000015258789,56.5,22.8999996185303,61.7999992370605, , , , , ,3.考試分發,1,1,0
00035,12,10,7,10,7,46,53.4700012207031,34.3300018310547,0,67.5999984741211, , , , , ,3.考試分發,1,1,0
00037, , , , , , , , , , ,84,46,64, , ,1.學校推薦,0,0,1
00045,12,5,5,10,7,39,47.2700004577637,21.5599994659424,14,14.1000003814697, , , , , ,3.考試分發,1,1,0
00057, , , , , , , , , , ,78,36, ,60, ,3.考試分發,0,0,1
00060,11,11,10,10,11,53,50.2299995422363,18.7800006866455,26.7999992370605,56.7999992370605, , , , , ,3.考試分發,1,1,0
00061,12,5,7,15,11,50,67.8000030517578,26.0599994659424,0,40.9000015258789, , , , , ,3.考試分發,1,1,0
00065,13,9,6,9,9,46,59.7299995422363,21.2800006866455,33,31.2000007629395, , , , , ,3.考試分發,1,1,0
00086, , , , , , , , , , ,74,76,68, , ,3.考試分發,0,0,1
00092,12,11,11,10,15,59,57.7000007629395,45.6699981689453,41.2000007629395,63.5999984741211, , , , , ,3.考試分發,1,1,0
00098,4,3,1,5,5,18, , , , , , , , , ,2.個人申請,1,0,0
00105,10,7,5,11,7,40,46.0299987792969,11.6700000762939,0,52.5999984741211, , , , , ,3.考試分發,1,1,0
00110,7,3,2,7,5,24, , , , ,68,32,68, , ,1.學校推薦,1,0,1
00113,4,4,0,5,4,17, , , , ,72,38, ,72, ,3.考試分發,1,0,1
00116,6,5,3,6,4,24, , , , ,60,30, ,32, ,3.考試分發,1,0,1
00120,13,9,9,9,8,48,56.3300018310547,12.6700000762939,0,76.5999984741211, , , , , ,3.考試分發,1,1,0
00121,13,10,4,11,10,48,52.0699996948242,24.5,0,33.2000007629395, , , , , ,3.考試分發,1,1,0
00123,10,7,6,12,10,45,63.4000015258789,13.2200002670288,27.6000003814697,37.2000007629395, , , , , ,3.考試分發,1,1,0
00124,12,12,9,11,10,54,62.5699996948242,53.5,38.2000007629395,0, , , , , ,3.考試分發,1,1,0
00134,10,6,10,9,9,44,47.3300018310547,17.1100006103516,48.7999992370605,77.8000030517578, , , , , ,3.考試分發,1,1,0
00135,6,3,2,7,5,23, , , , , , , , , ,4.獨立招生,1,0,0
00139,12,8,5,9,9,43,39.2000007629395,12.4399995803833,0,30, , , , , ,3.考試分發,1,1,0
00140,12,10,6,14,10,52,70.0699996948242,33.8300018310547,22,60.7999992370605, , , , , ,-,1,1,0
00142, , , , , , , , , , ,82,64,88, , ,3.考試分發,0,0,1
00150,14,14,12,14,15,69, , , , , , , , , ,2.個人申請,1,0,0
00153,13,10,5,12,10,50,59.5699996948242,39.1100006103516,15,57.7999992370605, , , , , ,3.考試分發,1,1,0
00154,11,10,12,14,11,58, , , , , , , , , ,2.個人申請,1,0,0
00157,13,9,9,13,8,52,70.5299987792969,18,0,70.8000030517578, , , , , ,3.考試分發,1,1,0
00160, , , , , , , , , , , , , , , ,-,0,0,0
00171, , , , , , , , , , ,60,46,35, , ,-,0,0,1
00175, , , , , , , , , , ,82,50,72, , ,1.學校推薦,0,0,1
00177,14,11,6,10,11,52,41.9300003051758,45.1100006103516,12,38.9000015258789, , , , , ,3.考試分發,1,1,0
00178,13,10,9,10,9,51, , , , , , , , , ,1.學校推薦,1,0,0
00179,12,7,8,10,10,47,60.6300010681152,15.9399995803833,35.7000007629395,100, , , , , ,3.考試分發,1,1,0
00187,13,12,13,14,10,62,63.9000015258789,43.7799987792969,66.0999984741211,63.7999992370605, , , , , ,3.考試分發,1,1,0
00189,12,6,6,11,8,43,71.0699996948242,37.8300018310547,0,35.2999992370605, , , , , ,3.考試分發,1,1,0
00202,13,15,15,14,15,72,78.129997253418,72,71.8000030517578,89, , , , , ,3.考試分發,1,1,0
00212,12,12,3,10,7,44, , , , , , , , , ,2.個人申請,1,0,0
00215,10,4,6,10,8,38, , , , , , , , , ,-,1,0,0
00225,12,8,4,10,7,41,51,20.7199993133545,0,22.3999996185303, , , , , ,3.考試分發,1,1,0
00229,10,6,6,8,8,38, , , , , , , , , ,1.學校推薦,1,0,0
00231, , , , , , , , , , ,82,46,76, , ,3.考試分發,0,0,1
00248,12,7,8,12,12,51,60.3300018310547,19.8899993896484,40.9000015258789,60.7000007629395, , , , , ,3.考試分發,1,1,0
00252,15,15,15,14,15,74, , , , , , , , , ,2.個人申請,1,0,0
00254,14,8,9,11,12,54, , , , , , , , , ,2.個人申請,1,0,0
00262, , , , , , , , , , ,76,50,72, , ,3.考試分發,0,0,1
00267, , , , , , , , , , ,38,44,36, , ,-,0,0,1
00268,11,11,4,11,9,46,45.4700012207031,40.5,0,57.7999992370605, , , , , ,3.考試分發,1,1,0
00282, , , , , , , , , , ,50,58, ,40, ,1.學校推薦,0,0,1
00283, , , , , , , , , , , , , , , ,-,0,0,0
00284,14,13,6,13,10,56,71.0699996948242,50.8300018310547,0,37.5999984741211, , , , , ,3.考試分發,1,1,0
00290, , , , , , ,51.4700012207031,54.939998626709,45.2000007629395, , , , , , ,3.考試分發,0,1,0
00294, , , , , , , , , , ,68,64, ,64, ,3.考試分發,0,0,1
00300, , , , , , , , , , ,76,94, ,76, ,3.考試分發,0,0,1
00307,9,7,7,11,9,43,43.7299995422363,13.2200002670288,38,50.4000015258789, , , , , ,3.考試分發,1,1,0
00312, , , , , , , , , , , , , , , ,-,0,0,0
00316, , , , , , , , , , ,52,26, ,36, ,-,0,0,1
00319,6,3,6,7,5,27, , , , ,58,24, ,72, ,3.考試分發,1,0,1
00320,9,6,6,9,12,42,52.5,12.1700000762939,40.5999984741211,43.5999984741211, , , , , ,3.考試分發,1,1,0
00328,11,7,5,9,6,38, , , , , , , , , ,1.學校推薦,1,0,0
00334, , , , , , , , , , ,68,28,32, , ,-,0,0,1
00336,13,12,9,15,10,59,66.5299987792969,53.6699981689453,0,56.4000015258789, , , , , ,3.考試分發,1,1,0
